day,time,name,lat,lng,depth,m
2016/04/16,3:24:35,大分県中部,33.3,131.467,-4,2.1
2016/04/16,3:25:18,熊本県熊本地方,32.769,130.768,-12,2.4
2016/04/16,3:26:49,大分県中部,33.284,131.469,-8,2.4
2016/04/16,3:26:52,熊本県阿蘇地方,32.95,131.068,-10,4
2016/04/16,3:27:31,熊本県熊本地方,32.8,130.817,-12,3.2
2016/04/16,3:27:45,熊本県阿蘇地方,32.984,131.085,-7,不明
2016/04/16,3:28:26,熊本県阿蘇地方,33,131.135,-11,3
2016/04/16,3:29:01,大分県中部,33.251,131.353,-8,2.9
2016/04/16,3:29:08,熊本県熊本地方,32.801,130.802,-13,2.5
2016/04/16,3:29:42,熊本県熊本地方,32.701,130.701,-12,2.5
2016/04/16,3:30:16,熊本県熊本地方,32.834,130.852,-11,2.7
2016/04/16,3:31:46,熊本県熊本地方,32.767,130.769,-11,2.7
2016/04/16,3:32:17,大分県中部,33.286,131.469,-5,2.5
2016/04/16,3:32:41,熊本県阿蘇地方,32.969,131.085,-11,3.8
2016/04/16,3:33:23,大分県中部,33.301,131.467,-3,2.3
2016/04/16,3:34:05,熊本県熊本地方,32.701,130.735,-12,2.1
2016/04/16,3:35:20,熊本県阿蘇地方,32.951,131.069,-8,2.3
2016/04/16,3:35:34,熊本県熊本地方,32.669,130.734,-10,2.3
2016/04/16,3:35:42,熊本県阿蘇地方,33.067,131.169,-11,3.1
2016/04/16,3:36:18,熊本県阿蘇地方,32.935,131.052,-11,3.2
2016/04/16,3:36:29,大分県中部,33.269,131.384,-9,2.2
2016/04/16,3:36:36,熊本県阿蘇地方,32.884,130.984,-7,不明
2016/04/16,3:36:47,熊本県阿蘇地方,33.018,131.184,-12,3.4
2016/04/16,3:36:51,大分県中部,33.3,131.483,-5,1.6
2016/04/16,3:37:19,熊本県阿蘇地方,32.936,131.052,-9,2.6
2016/04/16,3:37:59,熊本県熊本地方,32.751,130.7,-5,2.9
2016/04/16,3:39:14,熊本県熊本地方,32.669,130.719,-13,3.1
2016/04/16,3:39:56,熊本県熊本地方,32.769,130.769,-11,2.5
2016/04/16,3:40:20,大分県中部,33.284,131.467,-6,1.9
2016/04/16,3:40:21,熊本県熊本地方,32.818,130.801,-14,2.6
2016/04/16,3:40:34,熊本県阿蘇地方,32.968,131.067,-11,2.4
2016/04/16,3:41:15,大分県中部,33.301,131.502,0,1.9
2016/04/16,3:41:31,熊本県阿蘇地方,32.952,131.101,-9,2.6
2016/04/16,3:41:58,熊本県熊本地方,32.718,130.751,-11,2.2
2016/04/16,3:42:06,熊本県阿蘇地方,32.969,131.068,-11,2.1
2016/04/16,3:42:18,熊本県熊本地方,32.768,130.769,-12,2.7
2016/04/16,3:42:30,大分県中部,33.301,131.5,-4,1.5
2016/04/16,3:43:43,熊本県熊本地方,32.768,130.734,-9,3
2016/04/16,3:43:43,熊本県阿蘇地方,32.968,131.067,-9,3.3
2016/04/16,3:43:56,大分県中部,33.267,131.319,-9,2.8
2016/04/16,3:44:57,熊本県熊本地方,32.685,130.769,-9,3.6
2016/04/16,3:45:43,熊本県熊本地方,32.835,130.851,-11,2.8
2016/04/16,3:46:17,熊本県熊本地方,32.668,130.718,-11,2.3
2016/04/16,3:46:22,大分県中部,33.285,131.484,-7,2
2016/04/16,3:46:38,熊本県熊本地方,32.801,130.819,-10,2.5
2016/04/16,3:47:34,熊本県熊本地方,32.684,130.735,-13,2.7
2016/04/16,3:47:58,大分県西部,33.103,131.217,-4,3.2
2016/04/16,3:48:31,熊本県阿蘇地方,32.935,131.052,-11,2.8
2016/04/16,3:48:46,熊本県熊本地方,32.834,130.884,-13,3.3
2016/04/16,3:49:10,熊本県阿蘇地方,32.968,131.101,-10,2.7
2016/04/16,3:49:49,熊本県熊本地方,32.718,130.752,-9,2.1
2016/04/16,3:52:02,熊本県熊本地方,32.736,130.784,-11,3.5
2016/04/16,3:52:25,熊本県熊本地方,32.669,130.734,-12,3.7
2016/04/16,3:52:58,大分県中部,33.268,131.401,-10,2.4
2016/04/16,3:53:11,熊本県熊本地方,32.768,130.752,-11,2.9
2016/04/16,3:54:29,熊本県熊本地方,32.669,130.718,-14,2.7
2016/04/16,3:54:41,熊本県熊本地方,32.486,130.602,-10,2.7
2016/04/16,3:54:58,熊本県阿蘇地方,32.968,131.085,-11,3.2
2016/04/16,3:55:53,熊本県阿蘇地方,33.018,131.184,-11,5.8
2016/04/16,3:57:27,熊本県阿蘇地方,33.019,131.184,-13,4.3
2016/04/16,3:58:28,熊本県阿蘇地方,33.019,131.186,-10,3
2016/04/16,3:59:19,熊本県熊本地方,32.533,130.635,-9,3.2
2016/04/16,3:59:25,大分県中部,33.284,131.452,-8,2.4
2016/04/16,3:59:55,熊本県阿蘇地方,33.033,131.201,-10,3.2
2016/04/16,4:00:11,熊本県熊本地方,32.668,130.735,-4,2.5
2016/04/16,4:00:42,熊本県阿蘇地方,33.018,131.183,-9,3.2
2016/04/16,4:00:52,大分県中部,33.3,131.467,-3,不明
2016/04/16,4:00:52,熊本県阿蘇地方,33.018,131.184,-11,4.1
2016/04/16,4:01:41,熊本県熊本地方,32.867,130.902,-13,3
2016/04/16,4:01:57,熊本県阿蘇地方,33.118,131.168,-8,3.9
2016/04/16,4:02:41,熊本県阿蘇地方,33.118,131.168,-8,3.2
2016/04/16,4:02:51,熊本県阿蘇地方,32.935,131.1,-9,2.9
2016/04/16,4:03:22,熊本県熊本地方,32.653,130.702,-14,2.9
2016/04/16,4:03:40,熊本県阿蘇地方,33.001,131.151,-10,2.6
2016/04/16,4:04:06,大分県中部,33.268,131.368,-6,3.2
2016/04/16,4:04:40,大分県中部,33.285,131.435,-4,不明
2016/04/16,4:05:18,熊本県阿蘇地方,32.985,131.118,-11,2.5
2016/04/16,4:05:49,熊本県熊本地方,32.786,130.802,-12,4
2016/04/16,4:06:33,熊本県熊本地方,32.751,130.753,-13,2.8
2016/04/16,4:06:46,熊本県熊本地方,32.803,130.868,-8,2.7
2016/04/16,4:07:06,熊本県阿蘇地方,32.951,131.117,-11,3.7
2016/04/16,4:07:48,熊本県阿蘇地方,33.001,131.168,-6,2.9
2016/04/16,4:08:50,熊本県熊本地方,32.767,130.653,-11,2.4
2016/04/16,4:08:51,熊本県阿蘇地方,32.935,131.067,-8,3.1
2016/04/16,4:09:27,熊本県阿蘇地方,33.003,131.168,-12,4.1
2016/04/16,4:10:22,熊本県阿蘇地方,33.003,131.169,-13,3.2
2016/04/16,4:10:32,熊本県熊本地方,32.7,130.736,-9,2.7
2016/04/16,4:10:56,熊本県阿蘇地方,32.968,131.102,-10,2.7
2016/04/16,4:11:01,熊本県熊本地方,32.718,130.75,-12,2.6
2016/04/16,4:11:53,熊本県熊本地方,32.735,130.783,-9,3.3
2016/04/16,4:12:01,大分県中部,33.234,131.318,-10,2.8
2016/04/16,4:12:40,熊本県熊本地方,32.701,130.769,-8,2.5
2016/04/16,4:13:42,大分県中部,33.253,131.367,-8,2
2016/04/16,4:13:51,熊本県阿蘇地方,32.969,131.069,-12,2.9
2016/04/16,4:14:08,熊本県熊本地方,32.684,130.752,-9,2.7
2016/04/16,4:14:26,熊本県阿蘇地方,32.968,131.101,-10,3.1
2016/04/16,4:15:05,熊本県熊本地方,32.768,130.767,-13,3.5
2016/04/16,4:15:07,熊本県阿蘇地方,32.967,131.117,-9,3.4
2016/04/16,4:15:13,大分県中部,33.285,131.385,-7,3.7
2016/04/16,4:15:36,大分県西部,33.103,131.185,-4,3.1
2016/04/16,4:16:08,熊本県阿蘇地方,33.034,131.185,-11,2.8
2016/04/16,4:16:11,熊本県熊本地方,32.702,130.767,-8,2.4
2016/04/16,4:16:37,熊本県熊本地方,32.868,130.918,-5,2.7
2016/04/16,4:17:16,熊本県熊本地方,32.753,130.767,-14,3.4
2016/04/16,4:17:21,熊本県阿蘇地方,32.967,131.084,-12,2.9
2016/04/16,4:18:15,熊本県阿蘇地方,33.017,131.134,-10,4.2
2016/04/16,4:19:30,熊本県熊本地方,32.767,130.767,-9,3
2016/04/16,4:20:37,熊本県阿蘇地方,33.018,131.134,-8,3
2016/04/16,4:20:57,熊本県熊本地方,32.586,130.651,-8,2
2016/04/16,4:21:19,大分県中部,33.252,131.352,-11,3
2016/04/16,4:21:34,熊本県阿蘇地方,32.968,131.069,-11,2.6
2016/04/16,4:21:51,熊本県熊本地方,32.669,130.734,-12,2.3
2016/04/16,4:22:16,熊本県熊本地方,32.817,130.818,-12,2.6
2016/04/16,4:23:18,熊本県阿蘇地方,33.034,131.186,-10,4.2
2016/04/16,4:24:06,熊本県熊本地方,32.836,130.883,-9,3.1
2016/04/16,4:24:26,熊本県阿蘇地方,32.969,131.068,-12,4.6
2016/04/16,4:26:49,大分県中部,33.3,131.435,-4,2.7
2016/04/16,4:27:15,熊本県阿蘇地方,32.952,131.1,-9,2.6
2016/04/16,4:27:33,大分県中部,33.285,131.367,-9,2.5
2016/04/16,4:27:35,熊本県熊本地方,32.836,130.885,-9,2.4
2016/04/16,4:27:47,熊本県阿蘇地方,33.019,131.183,-6,2.3
2016/04/16,4:28:35,熊本県熊本地方,32.636,130.718,-9,3.9
2016/04/16,4:29:07,熊本県熊本地方,32.668,130.718,-9,3.2
2016/04/16,4:29:24,熊本県熊本地方,32.684,130.75,-7,2.8
